age_bin,target_agent,template_path,n_windows_requested,status,error_preview
20-24,2.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_2.5.npz,2,ok,
20-24,3.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_3.0.npz,3,ok,
20-24,3.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_3.5.npz,4,ok,
20-24,3.6,data\des_dsa_templates_v4_all_0p1\age_20_24_et_3.6.npz,2,ok,
20-24,3.8,data\des_dsa_templates_v4_all_0p1\age_20_24_et_3.8.npz,1,ok,
20-24,4.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_4.0.npz,1,ok,
20-24,4.1,data\des_dsa_templates_v4_all_0p1\age_20_24_et_4.1.npz,1,ok,
20-24,4.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_4.5.npz,1,ok,
20-24,4.6,data\des_dsa_templates_v4_all_0p1\age_20_24_et_4.6.npz,2,ok,
20-24,4.9,data\des_dsa_templates_v4_all_0p1\age_20_24_et_4.9.npz,2,ok,
20-24,5.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_5.0.npz,3,ok,
20-24,5.1,data\des_dsa_templates_v4_all_0p1\age_20_24_et_5.1.npz,1,ok,
20-24,5.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_5.5.npz,4,ok,
20-24,5.6,data\des_dsa_templates_v4_all_0p1\age_20_24_et_5.6.npz,2,ok,
20-24,6.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_6.0.npz,7,ok,
20-24,6.4,data\des_dsa_templates_v4_all_0p1\age_20_24_et_6.4.npz,2,ok,
20-24,6.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_6.5.npz,3,ok,
20-24,6.6,data\des_dsa_templates_v4_all_0p1\age_20_24_et_6.6.npz,1,ok,
20-24,6.9,data\des_dsa_templates_v4_all_0p1\age_20_24_et_6.9.npz,1,ok,
20-24,7.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_7.0.npz,2,ok,
20-24,7.2,data\des_dsa_templates_v4_all_0p1\age_20_24_et_7.2.npz,1,ok,
20-24,7.3,data\des_dsa_templates_v4_all_0p1\age_20_24_et_7.3.npz,1,ok,
20-24,7.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_7.5.npz,3,ok,
20-24,7.8,data\des_dsa_templates_v4_all_0p1\age_20_24_et_7.8.npz,1,ok,
20-24,8.0,data\des_dsa_templates_v4_all_0p1\age_20_24_et_8.0.npz,1,ok,
20-24,8.5,data\des_dsa_templates_v4_all_0p1\age_20_24_et_8.5.npz,1,ok,
25-29,2.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_2.5.npz,4,ok,
25-29,3.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.0.npz,3,ok,
25-29,3.1,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.1.npz,1,ok,
25-29,3.4,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.4.npz,1,ok,
25-29,3.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.5.npz,8,ok,
25-29,3.6,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.6.npz,1,ok,
25-29,3.8,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.8.npz,1,ok,
25-29,3.9,data\des_dsa_templates_v4_all_0p1\age_25_29_et_3.9.npz,1,ok,
25-29,4.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_4.0.npz,9,ok,
25-29,4.3,data\des_dsa_templates_v4_all_0p1\age_25_29_et_4.3.npz,1,ok,
25-29,4.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_4.5.npz,9,ok,
25-29,5.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.0.npz,8,ok,
25-29,5.1,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.1.npz,1,ok,
25-29,5.2,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.2.npz,1,ok,
25-29,5.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.5.npz,11,ok,
25-29,5.6,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.6.npz,4,ok,
25-29,5.8,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.8.npz,2,ok,
25-29,5.9,data\des_dsa_templates_v4_all_0p1\age_25_29_et_5.9.npz,1,ok,
25-29,6.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_6.0.npz,9,ok,
25-29,6.2,data\des_dsa_templates_v4_all_0p1\age_25_29_et_6.2.npz,1,ok,
25-29,6.4,data\des_dsa_templates_v4_all_0p1\age_25_29_et_6.4.npz,1,ok,
25-29,6.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_6.5.npz,9,ok,
25-29,6.9,data\des_dsa_templates_v4_all_0p1\age_25_29_et_6.9.npz,2,ok,
25-29,7.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_7.0.npz,6,ok,
25-29,7.1,data\des_dsa_templates_v4_all_0p1\age_25_29_et_7.1.npz,1,ok,
25-29,7.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_7.5.npz,3,ok,
25-29,8.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_8.0.npz,1,ok,
25-29,9.0,data\des_dsa_templates_v4_all_0p1\age_25_29_et_9.0.npz,1,ok,
25-29,9.5,data\des_dsa_templates_v4_all_0p1\age_25_29_et_9.5.npz,1,ok,
30-34,2.4,data\des_dsa_templates_v4_all_0p1\age_30_34_et_2.4.npz,1,ok,
30-34,2.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_2.5.npz,2,ok,
30-34,2.6,data\des_dsa_templates_v4_all_0p1\age_30_34_et_2.6.npz,1,ok,
30-34,3.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.0.npz,5,ok,
30-34,3.1,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.1.npz,1,ok,
30-34,3.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.5.npz,9,ok,
30-34,3.6,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.6.npz,3,ok,
30-34,3.8,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.8.npz,1,ok,
30-34,3.9,data\des_dsa_templates_v4_all_0p1\age_30_34_et_3.9.npz,1,ok,
30-34,4.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_4.0.npz,11,ok,
30-34,4.4,data\des_dsa_templates_v4_all_0p1\age_30_34_et_4.4.npz,1,ok,
30-34,4.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_4.5.npz,11,ok,
30-34,4.6,data\des_dsa_templates_v4_all_0p1\age_30_34_et_4.6.npz,3,ok,
30-34,4.9,data\des_dsa_templates_v4_all_0p1\age_30_34_et_4.9.npz,2,ok,
30-34,5.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_5.0.npz,10,ok,
30-34,5.4,data\des_dsa_templates_v4_all_0p1\age_30_34_et_5.4.npz,2,ok,
30-34,5.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_5.5.npz,7,ok,
30-34,5.7,data\des_dsa_templates_v4_all_0p1\age_30_34_et_5.7.npz,3,ok,
30-34,5.9,data\des_dsa_templates_v4_all_0p1\age_30_34_et_5.9.npz,1,ok,
30-34,6.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_6.0.npz,6,ok,
30-34,6.1,data\des_dsa_templates_v4_all_0p1\age_30_34_et_6.1.npz,1,ok,
30-34,6.2,data\des_dsa_templates_v4_all_0p1\age_30_34_et_6.2.npz,2,ok,
30-34,6.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_6.5.npz,3,ok,
30-34,6.7,data\des_dsa_templates_v4_all_0p1\age_30_34_et_6.7.npz,1,ok,
30-34,7.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_7.0.npz,5,ok,
30-34,7.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_7.5.npz,2,ok,
30-34,8.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_8.0.npz,2,ok,
30-34,8.5,data\des_dsa_templates_v4_all_0p1\age_30_34_et_8.5.npz,1,ok,
30-34,9.0,data\des_dsa_templates_v4_all_0p1\age_30_34_et_9.0.npz,1,ok,
35-39,2.5,data\des_dsa_templates_v4_all_0p1\age_35_39_et_2.5.npz,9,ok,
35-39,2.9,data\des_dsa_templates_v4_all_0p1\age_35_39_et_2.9.npz,1,ok,
35-39,3.0,data\des_dsa_templates_v4_all_0p1\age_35_39_et_3.0.npz,15,ok,
35-39,3.1,data\des_dsa_templates_v4_all_0p1\age_35_39_et_3.1.npz,1,ok,
