age_bin,target_agent,template_path,n_windows_requested,status,error_preview
20-24,1.0,data\dsa_templates_v1\age_20_24_et_1.0.npz,5,ok,
20-24,1.1,data\dsa_templates_v1\age_20_24_et_1.1.npz,7,ok,
20-24,1.2,data\dsa_templates_v1\age_20_24_et_1.2.npz,8,ok,
20-24,1.3,data\dsa_templates_v1\age_20_24_et_1.3.npz,4,ok,
20-24,1.4,data\dsa_templates_v1\age_20_24_et_1.4.npz,9,ok,
20-24,1.5,data\dsa_templates_v1\age_20_24_et_1.5.npz,10,ok,
20-24,1.6,data\dsa_templates_v1\age_20_24_et_1.6.npz,7,ok,
20-24,1.7,data\dsa_templates_v1\age_20_24_et_1.7.npz,8,ok,
20-24,1.8,data\dsa_templates_v1\age_20_24_et_1.8.npz,11,ok,
20-24,1.9,data\dsa_templates_v1\age_20_24_et_1.9.npz,11,ok,
20-24,2.0,data\dsa_templates_v1\age_20_24_et_2.0.npz,9,ok,
20-24,2.1,data\dsa_templates_v1\age_20_24_et_2.1.npz,10,ok,
20-24,2.2,data\dsa_templates_v1\age_20_24_et_2.2.npz,11,ok,
20-24,2.3,data\dsa_templates_v1\age_20_24_et_2.3.npz,5,ok,
20-24,2.4,data\dsa_templates_v1\age_20_24_et_2.4.npz,8,ok,
20-24,2.5,data\dsa_templates_v1\age_20_24_et_2.5.npz,6,ok,
20-24,2.6,data\dsa_templates_v1\age_20_24_et_2.6.npz,4,ok,
20-24,2.7,data\dsa_templates_v1\age_20_24_et_2.7.npz,5,ok,
20-24,2.8,data\dsa_templates_v1\age_20_24_et_2.8.npz,2,ok,
20-24,3.0,data\dsa_templates_v1\age_20_24_et_3.0.npz,3,ok,
25-29,1.0,data\dsa_templates_v1\age_25_29_et_1.0.npz,8,ok,
25-29,1.1,data\dsa_templates_v1\age_25_29_et_1.1.npz,9,ok,
25-29,1.2,data\dsa_templates_v1\age_25_29_et_1.2.npz,13,ok,
25-29,1.3,data\dsa_templates_v1\age_25_29_et_1.3.npz,13,ok,
25-29,1.4,data\dsa_templates_v1\age_25_29_et_1.4.npz,15,ok,
25-29,1.5,data\dsa_templates_v1\age_25_29_et_1.5.npz,22,ok,
25-29,1.6,data\dsa_templates_v1\age_25_29_et_1.6.npz,26,ok,
25-29,1.7,data\dsa_templates_v1\age_25_29_et_1.7.npz,19,ok,
25-29,1.8,data\dsa_templates_v1\age_25_29_et_1.8.npz,14,ok,
25-29,1.9,data\dsa_templates_v1\age_25_29_et_1.9.npz,23,ok,
25-29,2.0,data\dsa_templates_v1\age_25_29_et_2.0.npz,26,ok,
25-29,2.1,data\dsa_templates_v1\age_25_29_et_2.1.npz,20,ok,
25-29,2.2,data\dsa_templates_v1\age_25_29_et_2.2.npz,16,ok,
25-29,2.3,data\dsa_templates_v1\age_25_29_et_2.3.npz,12,ok,
25-29,2.4,data\dsa_templates_v1\age_25_29_et_2.4.npz,14,ok,
25-29,2.5,data\dsa_templates_v1\age_25_29_et_2.5.npz,11,ok,
25-29,2.6,data\dsa_templates_v1\age_25_29_et_2.6.npz,5,ok,
25-29,2.7,data\dsa_templates_v1\age_25_29_et_2.7.npz,9,ok,
25-29,2.8,data\dsa_templates_v1\age_25_29_et_2.8.npz,4,ok,
25-29,2.9,data\dsa_templates_v1\age_25_29_et_2.9.npz,7,ok,
25-29,3.0,data\dsa_templates_v1\age_25_29_et_3.0.npz,2,ok,
30-34,1.0,data\dsa_templates_v1\age_30_34_et_1.0.npz,10,ok,
30-34,1.1,data\dsa_templates_v1\age_30_34_et_1.1.npz,13,ok,
30-34,1.2,data\dsa_templates_v1\age_30_34_et_1.2.npz,18,ok,
30-34,1.3,data\dsa_templates_v1\age_30_34_et_1.3.npz,19,ok,
30-34,1.4,data\dsa_templates_v1\age_30_34_et_1.4.npz,23,ok,
30-34,1.5,data\dsa_templates_v1\age_30_34_et_1.5.npz,28,ok,
