agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
sevo,all,20-24,1.0,5,5,2,3,21.6,1.0017500004172324,0.0239095919675832,0.6310091153353763,48.09600000242392,6.123178832636519,16.01032235180338,1.6979207337041335,98.02489134907722,18.18851658798317,13.417152573528048,12.874106118786433,0.9201840021833844,10.0,14.128716977682751,-5.314410469196733,True
sevo,all,20-24,1.1,7,7,5,2,22.285714285714285,1.0956222305029986,0.0276749473940515,0.5289229936268558,43.00667499765044,9.380578427678223,14.620790259398165,2.457624846107826,97.64518576484352,19.093327691171616,12.904961454686347,13.490636985626766,0.0512848355455754,10.0,15.190062112491386,-5.602690705544847,True
sevo,all,20-24,1.2,8,8,5,3,21.875,1.2132690693998789,0.0162516837068484,0.6298535176691076,44.386226394493136,9.257107891529577,15.348242006474177,2.33841615373489,98.52833385864894,18.626428063912925,12.849279628523313,13.173930023265292,0.5527436741614681,10.5,15.01552319660001,-5.452498040647633,True
sevo,all,20-24,1.3,4,4,1,3,21.5,1.2854785022713864,0.0168477069318229,0.6661181703408753,41.08705076879511,6.3022428500963885,15.192556324259687,1.4144766918240457,98.17490622761348,19.41082396719773,12.914965539655777,12.828872470875124,0.3306892671555244,10.0,14.318775406851293,-6.581951496322612,False
sevo,all,20-24,1.4,9,9,5,4,21.77777777777778,1.392473215840895,0.0297972581841276,0.6254521316154515,42.80922451655346,9.7188645120964,14.74738006485557,1.5997334409611326,97.89441180201592,20.07702197585008,14.923385439273584,14.829194802790148,1.432449751655479,10.5,16.915195415466663,-5.247827173059932,True
sevo,all,20-24,1.5,10,10,5,5,22.1,1.5052688814645323,0.0354872120631655,0.6115918165010711,46.97110351863007,7.886249599839242,15.516246004483351,1.9757002197601796,98.32586752921344,18.249727770555506,13.511524039394075,13.708905068111305,0.9326071840785012,10.75,15.463802153851717,-4.540822702444201,True
sevo,all,20-24,1.6,7,7,4,3,21.714285714285715,1.6134579819915371,0.0299933045940387,0.6875260373910091,47.47965310074034,7.4757601910689715,15.482632977054234,1.744086067394115,98.3185216194817,18.32941854143703,13.34147774159544,14.078194803196288,0.903123690846862,10.5,15.637272642096224,-4.25122373824074,True
sevo,all,20-24,1.7,8,8,5,3,22.375,1.7088989513897104,0.0174508862483983,0.7588688116661312,46.1824340283405,9.993183116468485,15.018124503230986,2.25458682976973,98.42672876535605,18.390892373674536,13.965861765528906,14.58825247164932,0.6615673258661976,10.5,16.808088876791572,-3.802639902025215,True
sevo,all,20-24,1.8,11,11,8,3,22.09090909090909,1.790446826633574,0.0261235455519545,0.7955261654735571,39.11142640472813,9.14390772548893,14.06017333826784,2.143890349822182,97.36989275406708,20.095561101035077,14.562463462519805,13.424363869332764,-0.0405112009082274,9.5,15.32412517632642,-6.671197231702307,True
sevo,all,20-24,1.9,11,11,8,3,21.818181818181817,1.9093477547535616,0.0242537073419145,0.7990909197568808,37.87448218433243,9.1349507974064,13.569346684144078,2.3854817286464134,98.33656886391567,20.25568959199346,14.111167495240943,12.458597791478232,-0.675304057305194,9.5,14.129788254292931,-7.797091800515227,True
