agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,mean_fen2o,mean_fin2o,max_fen2o,max_fin2o,usable_cell
sevo,all,20-24,1.0,5,5,2,3,21.6,1.0017500004172324,0.02390959196758325,0.6310091153353763,48.09600000242392,6.123178832636519,16.01032235180338,1.697920733704134,98.02489134907722,18.188516587983166,13.417152573528048,12.874106118786433,0.9201840021833844,10.0,14.128716977682753,-5.314410469196733,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.1,7,7,5,2,22.285714285714285,1.0956222305029986,0.027674947394051654,0.5289229936268558,43.00667499765044,9.380578427678223,14.620790259398165,2.457624846107826,97.64518576484352,19.093327691171616,12.904961454686347,13.490636985626766,0.05128483554557547,10.0,15.190062112491386,-5.6026907055448465,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.2,8,8,5,3,21.875,1.2132690693998787,0.01625168370684846,0.6298535176691076,44.386226394493136,9.257107891529573,15.348242006474175,2.33841615373489,98.52833385864894,18.626428063912925,12.849279628523313,13.17393002326529,0.5527436741614681,10.5,15.01552319660001,-5.452498040647633,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.3,4,4,1,3,21.5,1.2854785022713864,0.01684770693182282,0.6661181703408753,41.08705076879511,6.302242850096391,15.192556324259687,1.4144766918240457,98.17490622761349,19.410823967197732,12.914965539655777,12.828872470875123,0.3306892671555244,10.0,14.318775406851291,-6.581951496322611,0.0,0.0,0.0,0.0,False
sevo,all,20-24,1.4,9,9,5,4,21.77777777777778,1.392473215840895,0.02979725818412763,0.6254521316154515,42.809224516553456,9.718864512096397,14.74738006485557,1.5997334409611315,97.89441180201592,20.077021975850084,14.923385439273583,14.829194802790148,1.4324497516554793,10.5,16.915195415466663,-5.247827173059931,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.5,10,10,5,5,22.1,1.5052688814645323,0.03548721206316549,0.6115918165010711,46.97110351863007,7.886249599839241,15.516246004483353,1.9757002197601798,98.32586752921343,18.249727770555506,13.511524039394075,13.708905068111303,0.9326071840785012,10.75,15.463802153851717,-4.540822702444202,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.6,7,7,4,3,21.714285714285715,1.6134579819915373,0.029993304594038653,0.6875260373910091,47.47965310074034,7.4757601910689715,15.482632977054234,1.7440860673941134,98.31852161948169,18.32941854143703,13.34147774159544,14.078194803196288,0.903123690846862,10.5,15.637272642096224,-4.25122373824074,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.7,8,8,5,3,22.375,1.7088989513897104,0.017450886248398412,0.7588688116661312,46.1824340283405,9.993183116468483,15.018124503230986,2.2545868297697305,98.42672876535605,18.390892373674536,13.965861765528906,14.58825247164932,0.6615673258661976,10.5,16.808088876791572,-3.802639902025215,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.8,11,11,8,3,22.09090909090909,1.790446826633574,0.02612354555195454,0.7955261654735571,39.11142640472813,9.143907725488928,14.06017333826784,2.143890349822182,97.36989275406708,20.095561101035074,14.562463462519805,13.424363869332764,-0.040511200908227435,9.5,15.32412517632642,-6.671197231702307,0.0,0.0,0.0,0.0,True
sevo,all,20-24,1.9,11,11,8,3,21.818181818181817,1.9093477547535616,0.024253707341914548,0.7990909197568808,37.87448218433243,9.1349507974064,13.569346684144078,2.385481728646414,98.33656886391567,20.25568959199346,14.111167495240943,12.458597791478233,-0.675304057305194,9.5,14.129788254292931,-7.797091800515227,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.0,9,9,7,2,21.666666666666668,2.0071006761320556,0.017875525548728875,0.8249942159452648,34.55428964085877,6.627011660508612,12.713780571223685,1.7270683718532944,97.76642642639301,20.889229282252845,14.372136115868434,12.695086650495929,-1.2919089042802296,9.5,14.517190051375529,-8.194142631756918,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.1,10,10,7,3,21.6,2.1014999159503107,0.011967926161348681,0.9075110494535572,36.74591929855446,6.303677561398712,13.278078238945454,2.083305540791627,98.13789273262023,20.720718968808775,14.752955684394175,12.839455729313116,-0.9519618312543304,9.25,14.552069657161061,-7.881263239495662,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.2,11,11,7,4,21.90909090909091,2.1965163565219634,0.023541031574993605,0.9253444433646192,38.04092382352912,10.021686568630473,13.586788633166616,2.353964777582071,97.55290476937185,20.564553072218516,14.410331525905729,12.594873839759652,-0.7146729035012448,9.5,14.41589271915271,-7.969679232458862,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.3,5,5,3,2,22.2,2.2798124715685844,0.005447390022046781,1.0047669282198572,31.225291643142704,4.035275339452636,12.50512810125947,0.959712670619188,97.51383417765298,19.515974126986116,14.490035678227809,11.929563802195577,-2.468681619766149,8.5,15.269414876606238,-7.586410324790539,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.4,8,8,5,3,21.875,2.3903215121303223,0.017324323717547076,1.0253588927647797,29.163128211411337,5.095920956975527,11.298685533879326,2.00378066536771,98.2732883706689,22.488638828066684,15.921920292676155,12.762570655998417,-1.4354917037829387,8.25,15.6294797359681,-9.726068172068267,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.5,6,6,3,3,21.5,2.501856558992424,0.022889838963408966,1.0460948460593096,31.437876532537242,6.653529103472504,11.006278421220165,2.7993563666151764,96.51129078426295,21.189421353199663,14.35393121543495,10.675238981367206,-2.802919143724934,8.5,13.15462083794697,-10.514182371832456,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.6,4,4,3,1,22.25,2.5923485594491162,0.028140916271914607,1.1392447950628897,34.400569613526265,5.799309361780165,13.330888004290562,1.0559490468232466,97.440079053243,20.046192097331943,15.710575417634693,12.769752700187905,-0.8712379284204319,8.5,15.9296114600423,-7.276439397144037,0.0,0.0,0.0,0.0,False
sevo,all,20-24,2.7,5,5,3,2,22.2,2.6973880490132918,0.023516960606373198,1.1786536645858239,33.218386658032735,4.524240922001947,12.932275113624831,0.8242999220876345,98.38582513650258,20.958172036892915,16.74087824402265,13.446793900978582,-0.5985172302073546,8.5,16.757110400532984,-7.511378135914333,0.0,0.0,0.0,0.0,True
sevo,all,20-24,2.8,2,2,1,1,22.5,2.78295247120938,0.04256911718245883,1.1823991320289982,30.46300128015379,2.4659152738123455,12.033505488280205,0.09039960768379747,97.78677210360766,22.97225892419486,16.613551606265005,14.320872091010418,-0.6956412164724205,9.25,16.47405127958571,-8.651386833184443,0.0,0.0,0.0,0.0,False
sevo,all,20-24,3.0,3,3,2,1,22.333333333333332,3.0206162956750227,0.033304940789907964,1.3480359960606114,27.68110893646048,1.0351503345918056,11.098580503049824,0.41462284487915085,98.5586750196086,23.207823814850006,16.88231951036105,12.802081670755385,-1.4767750683919207,8.5,15.875680772794423,-10.405742144094623,0.0,0.0,0.0,0.0,False
sevo,all,25-29,1.0,8,8,4,4,26.125,0.9985441126749114,0.03229386238092738,0.508533532164438,46.55225665600349,8.273667817991289,15.589208990118156,2.071556087334895,98.41840455935647,17.60247663218257,12.39037777573959,13.251269521937724,0.696726592393452,10.5,15.001640062490328,-4.351207110244845,0.0,0.0,0.0,0.0,True
